番号,4,
名前,하기와라 유키호,
呼び名,유키호,
基礎,희망,38
基礎,영혼,21
基礎,패기,4
基礎,예리,5
基礎,자비,9
基礎,행동력,6
基礎,레벨,1
基礎,신장,155
基礎,체중,42
基礎,가슴둘레,81
基礎,허리둘레,56
基礎,엉덩이둘레,81
素質,성별,1
素質,인간,1
EQUIP,의상,1001
EQUIP,의식,2001
EQUIP,카드,3004
フラグ,호감도,0
フラグ,팬수,1
フラグ,HP성장,3
フラグ,SP성장,4
相性,3,130;미키
相性,6,130;마코토
CSTR,10,YUKIHO HAGIWARA ●나이 : 17세 ●생일 : 12월 24일 ●혈액형 : A ●잘 쓰는 손 : 오른쪽
CSTR,11,●별자리 : 염소자리 ●출신지 : 도쿄 ●취미 : MV 시집을 쓰는 것 ●특기 : 일본차를 끓이는 것
CSTR,12,●좋아하는 것 : 블로그 ● 담당 성우 : 아사쿠라 아즈미
CSTR,13, 
CSTR,14,유하고 온화한 이미지이지만 겁이 많고 자신감이 떨어지는 17세의 아이돌.
CSTR,15,소극적인 자신의 성격을 개선하기 위해 아이돌을 지망했다고 한다.
CSTR,16, 
CSTR,17,남성과 개를 무서워해서 대하기 어려워한다.
CSTR,18,그러나 한번 결심한 일은 해내고야 마는 굳은 의지를 지녔다.
CSTR,19, 
CSTR,20,담당곡은 「Kosmos, Cosmos」「ALRIGHT*」「何度も言えるよ」 등
