番号,50,
名前,줄리아,
呼び名,줄리아,
基礎,희망,44
基礎,영혼,22
基礎,패기,9
基礎,예리,6
基礎,자비,3
基礎,행동력,5
基礎,레벨,1
基礎,출혈내성,1
基礎,신장,157
基礎,체중,43
基礎,가슴둘레,79
基礎,허리둘레,54
基礎,엉덩이둘레,80
素質,성별,1
素質,인간,1
EQUIP,의상,1001
EQUIP,의식,2001
EQUIP,카드,3050
フラグ,호감도,0
フラグ,팬수,1
相性,2,120;치하야
相性,15,150;시즈카
CSTR,10,JULIA ●나이 : 16세 ●생일 : 9월 26일 ●혈액형 : O ●잘 쓰는 손 : 왼쪽
CSTR,11,●별자리 : 천칭자리 ●출신지 : 후쿠오카현 ●취미 : 없음 ●특기 : 기타
CSTR,12,●좋아하는 것 : 펑크 록 ● 담당 성우 : 아이미
CSTR,13, 
CSTR,14,펑크 록 밴드 보컬이었지만 사정이 있어서 765 프로덕션에서 데뷔한 아이돌.
CSTR,15,음악과 아이돌 활동 양쪽에 무척 진지한 태도를 가진 노력파.
CSTR,16, 
CSTR,17,기타에 능숙하고 시간이 날 땐 자작곡을 쓴다고 한다.
CSTR,18,참고로 줄리아라는 이름은 예명으로 본명은 밝혀지지 않았다.
CSTR,19, 
CSTR,20,담당곡은 「流星群」「プラリネ」「スタートリップ」 등
